"HITId","RequesterAnnotation","AssignmentId","WorkerId","Approve"
"3MIVREZQVHDQHEQ3ZTDH919BGW0QKF","BatchId:3171314;OriginalHitTemplateId:926158642;","3KXIR214I5VRYDX92S52VMIZ5J924F","A1EF7PCXWNTUXR","x"
"3XJOUITW8U6PKXGQT2R9ASW7Z9RQTL","BatchId:3171314;OriginalHitTemplateId:926158642;","3BDCF01OGY9DX6X115BEQ7LF6K3LYC","A1EF7PCXWNTUXR","x"
"3JVP4ZJHDP7BNQVGISYQHF3GBOE0IH","BatchId:3171314;OriginalHitTemplateId:926158642;","3R6P78PK7LQ1USK6G8RZ5YOSV1ZTGP","A1EF7PCXWNTUXR","x"
"3BC9H1KCYURQLGB6FHDEAY682CQYWM","BatchId:3171314;OriginalHitTemplateId:926158642;","33F859I567SFY2L00SIWQ4U74UBHBL","A1EF7PCXWNTUXR","x"
"3D4BBDG7ZHBGRF8D95KN8A3S1VE3CD","BatchId:3171314;OriginalHitTemplateId:926158642;","32VNZTT0A8J82XEUHIK3WUQ7HBS4RZ","A1EF7PCXWNTUXR","x"
"33TGB4G0LPW9TUH2FGM140S0WCETXL","BatchId:3171314;OriginalHitTemplateId:926158642;","39KFRKBFIOAL3R0YEXR6IOP91P8YO6","A1EF7PCXWNTUXR","x"
"3X2LT8FDHWXB6AKO2DFKBLI69XNW86","BatchId:3171314;OriginalHitTemplateId:926158642;","3BC8WZX3V4BF33GSSUGG4N1H9PDRR6","A1EF7PCXWNTUXR","x"
"3E24UO25QZ5GXNSYICRCAD9T00YO60","BatchId:3171314;OriginalHitTemplateId:926158642;","3RGU30DZTBN78ZKNFHBQGXLGTLKMJL","A1EF7PCXWNTUXR","x"
"3NKW03WTLMMHCEKKO7WKXC36339WQH","BatchId:3171314;OriginalHitTemplateId:926158642;","35USIKEBNSV12MQG7ZW1K85BC5AN6G","A1EF7PCXWNTUXR","x"
"33Q5P9PUSP1HC8F6UCFWCB87GQCZC5","BatchId:3171314;OriginalHitTemplateId:926158642;","34PGFRQONPQ3DBE1JJHDPVN7RNUWJI","A1EF7PCXWNTUXR","x"
"3M47JKRKCXGDCV5IBV2GDRJTLVV68G","BatchId:3171314;OriginalHitTemplateId:926158642;","3FQ5JJ512M3811B593Q2URATD0SNKJ","A1EF7PCXWNTUXR","x"
"3CO05SML7VKOGPYZ8FSZV747YKWR0B","BatchId:3171314;OriginalHitTemplateId:926158642;","3YDTZAI2WYVK9SFDJO5OQ38UDDW14Y","A1EF7PCXWNTUXR","x"
"3BAKUKE49HRONEJH4YWZ9CNH3C2R1E","BatchId:3171314;OriginalHitTemplateId:926158642;","3OLQQLKKNT49WBSAYJN73PG7KJTEJO","A1EF7PCXWNTUXR","x"
"3ZQX1VYFTDK311BMBROAUR5K6VOO8M","BatchId:3171314;OriginalHitTemplateId:926158642;","3E7TUJ2EGD1FYT11GCLA8DKJO2F9DU","A1EF7PCXWNTUXR","x"
"3421H3BM9AWPEV3Z062JMRJ9R7WJ9N","BatchId:3171314;OriginalHitTemplateId:926158642;","3Y9N9SS8LZQTJRCLZ3K0H0HXOA4D3G","A1EF7PCXWNTUXR","x"
"3X55NP42EOVZL4HHEA6TSA2Z0ET3PR","BatchId:3171314;OriginalHitTemplateId:926158642;","3BWI6RSP7HOGCGR8XAYA0ZBYTOT7EA","A1EF7PCXWNTUXR","x"
"3R868ACW4SRUTKVBWYBF22TMEI4ZGF","BatchId:3171314;OriginalHitTemplateId:926158642;","3RWE2M8QWIP6OB415AGKB7VKZ2ON0F","A1EF7PCXWNTUXR","x"
"3B286OTISEW3JED4SCGJIMUTXPEJA2","BatchId:3171314;OriginalHitTemplateId:926158642;","3L2IS5HSFBXM4XGH3HU40EJRFRSNUI","A1EF7PCXWNTUXR","x"
"3KTZHH2ONIUF1YQAYB9X2NGFBVA8MS","BatchId:3171314;OriginalHitTemplateId:926158642;","3DQQ64TANH0ZZMHZEWMXMR9J0M3WPL","A1EF7PCXWNTUXR","x"
"3FBEFUUYRKKRVJYX8TMU9IPOBJV6AK","BatchId:3171314;OriginalHitTemplateId:926158642;","3IX2EGZR7CYY5FXFKP772WFQZ8JJR6","A1EF7PCXWNTUXR","x"
"3FI30CQHVKYWET3PE7MQ4T9UT1G6BF","BatchId:3171314;OriginalHitTemplateId:926158642;","3N2BF7Y2VR9BHTPXRH854K51GTEMHE","A1EF7PCXWNTUXR","x"
"3XDJY5RK5S0XV58HVAA6CLH4MVGU4Y","BatchId:3171314;OriginalHitTemplateId:926158642;","3UN61F00HX4QYGIUVN3D1MWLH7O5R6","A1EF7PCXWNTUXR","x"
"3H6W48L9F44WC2J5OUHVX7DWY7NWPQ","BatchId:3171314;OriginalHitTemplateId:926158642;","3PQ8K71NHYZV558UO888E7NX9H1AA9","A1EF7PCXWNTUXR","x"
"3MD8CKRQZZ2VIVZLUN25DCJ3XT2RJI","BatchId:3171314;OriginalHitTemplateId:926158642;","340UGXU9DZGZC2PQ58GVAVD41UUVU7","A1EF7PCXWNTUXR","x"
"3W1K7D6QSBWY23N0GCJ11R2PY5CZBY","BatchId:3171314;OriginalHitTemplateId:926158642;","3EFVCAY5L4OSNAIJLG17BFKL9GTJ8S","A1EF7PCXWNTUXR","x"
"3MQKOF1EE23NN5GFJLQ0XDW7KOKWDC","BatchId:3171314;OriginalHitTemplateId:926158642;","3TAYZSBPLMNA0YZKST1KTPY5JZD2SN","A1EF7PCXWNTUXR","x"
"3BA7SXOG1J56YE323J5EOMAPHI8R8Y","BatchId:3171314;OriginalHitTemplateId:926158642;","36V4Q8R5ZLFOUMO0A7VZDYX27GCMQC","A1EF7PCXWNTUXR","x"
